[2026-04-02T21:34:22.618Z] Spawning ./Simulator/build/grblHAL_sim -p 23000
[2026-04-02T21:34:22.624Z] PID 82034
[2026-04-02T21:34:30.346Z] sim→ws 1B: \n
[2026-04-02T21:34:30.401Z] ws→sim 1B: ?
[2026-04-02T21:34:30.446Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.446Z] sim→ws 1B: \n
[2026-04-02T21:34:30.500Z] ws→sim 1B: ?
[2026-04-02T21:34:30.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.546Z] sim→ws 1B: \n
[2026-04-02T21:34:30.600Z] ws→sim 1B: ?
[2026-04-02T21:34:30.646Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.646Z] sim→ws 1B: \n
[2026-04-02T21:34:30.700Z] ws→sim 1B: ?
[2026-04-02T21:34:30.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.746Z] sim→ws 1B: \n
[2026-04-02T21:34:30.800Z] ws→sim 1B: ?
[2026-04-02T21:34:30.842Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:30.842Z] sim→ws 1B: \n
[2026-04-02T21:34:30.901Z] ws→sim 1B: ?
[2026-04-02T21:34:30.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:30.946Z] sim→ws 1B: \n
[2026-04-02T21:34:31.000Z] ws→sim 1B: ?
[2026-04-02T21:34:31.043Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.044Z] sim→ws 1B: \n
[2026-04-02T21:34:31.100Z] ws→sim 1B: ?
[2026-04-02T21:34:31.144Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.145Z] sim→ws 1B: \n
[2026-04-02T21:34:31.200Z] ws→sim 1B: ?
[2026-04-02T21:34:31.245Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.246Z] sim→ws 1B: \n
[2026-04-02T21:34:31.301Z] ws→sim 1B: ?
[2026-04-02T21:34:31.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.346Z] sim→ws 1B: \n
[2026-04-02T21:34:31.400Z] ws→sim 1B: ?
[2026-04-02T21:34:31.442Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.442Z] sim→ws 1B: \n
[2026-04-02T21:34:31.500Z] ws→sim 1B: ?
[2026-04-02T21:34:31.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.546Z] sim→ws 1B: \n
[2026-04-02T21:34:31.601Z] ws→sim 1B: ?
[2026-04-02T21:34:31.644Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.644Z] sim→ws 1B: \n
[2026-04-02T21:34:31.701Z] ws→sim 1B: ?
[2026-04-02T21:34:31.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:31.746Z] sim→ws 1B: \n
[2026-04-02T21:34:31.800Z] ws→sim 1B: ?
[2026-04-02T21:34:31.846Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:31.846Z] sim→ws 1B: \n
[2026-04-02T21:34:31.900Z] ws→sim 1B: ?
[2026-04-02T21:34:31.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:31.946Z] sim→ws 1B: \n
[2026-04-02T21:34:32.001Z] ws→sim 1B: ?
[2026-04-02T21:34:32.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.046Z] sim→ws 1B: \n
[2026-04-02T21:34:32.100Z] ws→sim 1B: ?
[2026-04-02T21:34:32.146Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.146Z] sim→ws 1B: \n
[2026-04-02T21:34:32.201Z] ws→sim 1B: ?
[2026-04-02T21:34:32.243Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.243Z] sim→ws 1B: \n
[2026-04-02T21:34:32.300Z] ws→sim 1B: ?
[2026-04-02T21:34:32.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.346Z] sim→ws 1B: \n
[2026-04-02T21:34:32.400Z] ws→sim 1B: ?
[2026-04-02T21:34:32.446Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.446Z] sim→ws 1B: \n
[2026-04-02T21:34:32.500Z] ws→sim 1B: ?
[2026-04-02T21:34:32.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.546Z] sim→ws 1B: \n
[2026-04-02T21:34:32.601Z] ws→sim 1B: ?
[2026-04-02T21:34:32.646Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.646Z] sim→ws 1B: \n
[2026-04-02T21:34:32.700Z] ws→sim 1B: ?
[2026-04-02T21:34:32.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:32.746Z] sim→ws 1B: \n
[2026-04-02T21:34:32.801Z] ws→sim 1B: ?
[2026-04-02T21:34:32.846Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:32.846Z] sim→ws 1B: \n
[2026-04-02T21:34:32.901Z] ws→sim 1B: ?
